config,locked_features,mse,bic,formula
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(exp(x))', 'exp(exp(exp(y)))', '((sin(x) * y) * sin(sin(exp(cos(x)))))']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(exp(cos(cos(x))))', 'exp(exp(exp(x)))', 'exp(exp(cos(y)))', 'exp(exp(cos(x)))', 'sin(x)', 'exp(exp(y))', '(x * exp(y))', 'exp((exp(x) * cos(y)))', 'sin(exp(exp((y * sin(x)))))']",0.07441547510379912,-2570.460338948917,1.8545 * exp(x) + -0.1732 * exp(exp(cos(cos(x)))) + -1.0640 * sin(x) + -0.0592 * (x * exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', '(x * (x * y))']",0.00913542879311385,-4667.964129552332,0.3231 * exp(x) + 0.6639 * cos(y) + 0.6357 * x + 0.9544 * (x * (x * y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(exp(exp(sin(x))))', 'exp((exp(y) * exp(y)))', '(x * y)', 'exp(x)', 'cos(cos(sin(exp(x))))', 'cos(sin(x))', 'cos(exp(cos(y)))', 'exp(exp(exp(x)))', 'exp(exp(y))']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'exp(sin(sin(exp(exp(exp((cos(sin(x)) * x)))))))', 'cos(x)', 'exp(exp(y))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(x)']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'exp((exp(x) * y))', 'cos(exp(x))', 'x', '(cos(x) * y)', 'cos(y)', '(x * exp((y * y)))', 'cos((exp(exp(x)) * x))', 'cos(exp(sin(sin(x))))']",0.004692807993305859,-2643.574429624384,0.4182 * exp(x) + 2.0111 * y + 0.4078 * cos(exp(x)) + 0.9190 * x + -1.9973 * (cos(x) * y) + 0.3759 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((x * x) * cos(exp(y)))', '((x * x) * (y * y))', 'x', 'y', 'sin(exp(sin(x)))', 'exp(y)', '(x * (y * exp(x)))', 'sin(exp((exp(sin(x)) * sin(exp(y)))))', 'exp(exp(x))']",0.004606615853265329,-5331.907492824184,1.0597 * exp(x) + -0.9965 * ((x * x) * cos(exp(y))) + -0.4970 * ((x * x) * (y * y)) + -0.2750 * x + 0.3817 * y + 0.3458 * sin(exp(sin(x))) + -0.3360 * exp(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', '((x * x) * sin(y))', '(x * x)', 'y', 'x', 'cos(y)']",0.004929610913104748,-2625.1745676744854,0.6289 * exp(x) + 1.0727 * ((x * x) * sin(y)) + -0.3471 * (x * x) + 0.3083 * x + 0.3816 * cos(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'x']",0.005016994695654414,-5260.385414360054,0.8896 * exp(x) + 2.2372 * y + -2.0469 * (y * cos(x)) + -0.5012 * (x * x) + 0.2162 * cos(exp(y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'sin(cos(x))', 'x', '(y * cos(x))', '(y * cos(y))', '(y * sin(x))', 'exp(exp(y))', '(x * sin(x))', '(x * y)']",0.007413644966739524,-2421.1434906434183,0.3753 * exp(x) + 1.9878 * y + 0.6773 * sin(cos(x)) + 0.5910 * x + -1.9704 * (y * cos(x))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', '(y * cos(x))', '(x * x)', 'cos(exp(y))', 'x', '((x * x) * (y * y))', '(cos(((cos(x) * cos(x)) * exp(y))) * exp(y))']",0.004947157350148405,-5267.49560838266,0.8931 * exp(x) + 2.2170 * y + -2.0478 * (y * cos(x)) + -0.4702 * (x * x) + 0.1934 * cos(exp(y)) + -0.0744 * ((x * x) * (y * y))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'y', 'cos(y)', '(x * exp(sin(sin((x * y)))))', 'exp(y)', 'x']",0.006355491569508757,-2504.3595804652714,-0.2949 * y + 0.6929 * cos(y) + 0.9285 * (x * exp(sin(sin((x * y))))) + 0.3089 * exp(y)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 0.5, 'gamma': 0.005, 'alpha': 1.0, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', '((x * x) * y)', '(exp(y) * (x * x))', 'y']",0.0064529376271519985,-5022.496539951513,0.9271 * exp(x) + 1.3770 * ((x * x) * y) + -0.3931 * (exp(y) * (x * x))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'exp(exp(y))', 'exp(cos(cos(cos(x))))', '((exp(y) * y) * x)', '(x * y)', 'exp(sin(sin(cos(y))))', 'cos(exp(exp(y)))']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.0, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'cos(y)', 'exp((exp((exp(y) * x)) * y))', 'exp(exp(exp(exp(sin(x)))))']",0.09040106422453158,-2396.5914839790576,0.8220 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 500}","['exp(x)', 'cos(y)']",0.08605311551998812,-1220.1806674282573,0.8152 * exp(x)
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 0.5, 'beta': 0.1, 'noise': 0.0, 'n_points': 1000}","['exp(x)', 'y', 'cos(y)', 'x', 'exp((x * (y * sin(x))))']",0.006139963720260018,-5065.305424477054,-0.3264 * exp(x) + 0.3870 * cos(y) + 1.3579 * x + 0.9801 * exp((x * (y * sin(x))))
"{'n_episodes': 200, 'n_simulations': 20, 't_max': 15, 'c': 1.0, 'gamma': 0.001, 'alpha': 1.0, 'beta': 0.0, 'noise': 0.0, 'n_points': 500}","['(exp(y) * cos(exp(exp(exp(sin(sin(cos(y))))))))', 'exp(exp(exp(y)))', 'exp(exp(exp(x)))', 'exp(exp(exp(sin((cos(y) * (exp(x) * y))))))', 'exp(exp(exp(sin(sin(sin(y))))))', '(y * x)', '(x * y)']",1.2559031069350473,113.92746045512447,dx/dt = 0
