n_episodes,n_simulations,t_max,c,gamma,alpha,beta,noise,n_points,final_features,bic,mse
1000,20,15,0.5,0.001,0.5,0.0,0.0,500,exp(x) + cos((sin(y) * x)) + exp(y) + cos(y) + (x * y),-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.001,0.5,0.0,0.0,1000,exp(x) + cos(y) + y,-2998.8148934446053,0.6626610485080495
1000,20,15,0.5,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,20,15,0.5,0.001,1.0,0.0,0.0,500,exp(x) + y + exp(sin(cos(y))),-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.001,1.0,0.0,0.0,1000,exp(x) + cos(y) + sin(y),-2998.8148934446053,0.6626610485080495
1000,20,15,0.5,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,20,15,0.5,0.005,0.5,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + exp(cos(sin(x))) + y + sin((y * exp((sin((x * x)) * x)))),-3500.779446056989,0.7285027571004477
1000,20,15,0.5,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.005,0.5,0.1,0.0,1000,exp(x) + (x * x) + x + y,-3500.779446056989,0.7285027571004477
1000,20,15,0.5,0.005,1.0,0.0,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.005,1.0,0.0,0.0,1000,(exp(x) * cos(sin(x))) + x + exp(x) + exp(y),-3499.9432929068444,0.7114104518744752
1000,20,15,0.5,0.005,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,0.5,0.005,1.0,0.1,0.0,1000,exp(x) + (x * x) + x,-3500.779446056989,0.7285027571004477
1000,20,15,1.0,0.001,0.5,0.0,0.0,500,exp(x) + exp(y) + cos(cos(exp(sin(x)))) + (exp((exp(cos(exp(x))) * sin(cos(sin(y))))) * exp(x)),-1549.5698051497404,0.6376250781909009
1000,20,15,1.0,0.001,0.5,0.0,0.0,1000,exp(x) + y + cos(sin(y)) + exp(exp(y)),-2998.8148934446053,0.6626610485080495
1000,20,15,1.0,0.001,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,1.0,0.001,0.5,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,20,15,1.0,0.001,1.0,0.0,0.0,500,exp(x) + exp(sin(y)) + cos(y) + exp(y),-1549.5698051497404,0.6376250781909009
1000,20,15,1.0,0.001,1.0,0.0,0.0,1000,exp(x) + cos(cos(cos(x))) + y + cos(y),-2998.8148934446053,0.6626610485080495
1000,20,15,1.0,0.001,1.0,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
1000,20,15,1.0,0.001,1.0,0.1,0.0,1000,exp(x) + y,-2998.8148934446053,0.6626610485080495
1000,20,15,1.0,0.005,0.5,0.0,0.0,500,exp(x) + sin(exp(exp(y))) + exp(y) + (x * sin(y)) + exp(cos(y)),-1549.5698051497404,0.6376250781909009
1000,20,15,1.0,0.005,0.5,0.0,0.0,1000,exp(x) + (x * x) + x,-3500.779446056989,0.7285027571004477
1000,20,15,1.0,0.005,0.5,0.1,0.0,500,exp(x) + y,-1549.5698051497404,0.6376250781909009
